"","city","region","year","season","attendance","arrests","arrests_percent","post","attendance_thosand","treat","income_per_head","percent_from_income","unemployed","beer_tobacco","population","unemployed_thousand","population_thousand","arrest_vs_population"
"371","Scunthorpe","Yorkshire Humberside",1993,"1993/1994",66816,5,0.01,"1",66.816,"0",8690,0.292059839,2904400,2538,74983,2904.4,74.983,0.0666817812037395
"372","Sheffield","Yorkshire Humberside",1987,"1987/1988",619479,150,0.024,"0",619.479,"1",5614,0.293729961,3165800,1649,478386,3165.8,478.386,0.313554326422596
"373","Sheffield","Yorkshire Humberside",1988,"1988/1989",661122,130,0.02,"0",661.122,"1",6021,0.287825943,2626200,1733,479323,2626.2,479.323,0.271215860703534
"374","Sheffield","Yorkshire Humberside",1989,"1989/1990",786292,184,0.023,"0",786.292,"1",6722,0.271199048,2084700,1823,481642,2084.7,481.642,0.382026484401277
"375","Sheffield","Yorkshire Humberside",1990,"1990/1991",1015872,155,0.015,"1",1015.872,"1",7497,0.265839669,1918200,1993,482492,1918.2,482.492,0.321248849721861
"376","Sheffield","Yorkshire Humberside",1991,"1991/1992",1084778,254,0.023,"1",1084.778,"1",7989,0.278382776,2463000,2224,483969,2463,483.969,0.524827003382448
"377","Sheffield","Yorkshire Humberside",1992,"1992/1993",967351,141,0.015,"1",967.351,"1",8459,0.282657525,2803000,2391,485237,2803,485.237,0.290579654890291
"378","Sheffield","Yorkshire Humberside",1993,"1993/1994",981807,154,0.016,"1",981.807,"1",8690,0.292059839,2904400,2538,485738,2904.4,485.738,0.317043344354364
"379","Shrewsbury","West Midlands",1987,"1987/1988",108202,68,0.06,"0",108.202,"0",5442,0.286659316,3475800,1560,66488,3475.8,66.488,1.02274094573457
"380","Shrewsbury","West Midlands",1988,"1988/1989",108100,37,0.03,"0",108.1,"0",5992,0.276368491,2734300,1656,66609,2734.3,66.609,0.55548049062439
"381","Shrewsbury","West Midlands",1989,"1989/1990",81283,18,0.02,"0",81.283,"0",6683,0.25497531,1999800,1704,66732,1999.8,66.732,0.269735659054127
"382","Shrewsbury","West Midlands",1990,"1990/1991",61695,23,0.04,"1",61.695,"0",7500,0.251866667,1818500,1889,66793,1818.5,66.793,0.344347461560343
"383","Shrewsbury","West Midlands",1991,"1991/1992",79483,38,0.05,"1",79.483,"0",8026,0.261649639,2600700,2100,66938,2600.7,66.938,0.56768950371986
